                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.2548,                  6.606,                 4.3806,                      0,                      0,                      0,                      0,                  6.394,                 8.0602,                  4.159,                  2e-05,                  2e-05,                  2e-05
                      2,                 6.3005,                 7.8282,                 4.3532,                      0,                      0,                      0,                      0,                  6.394,                 8.0602,                 4.1581,              5.703e-05,              5.703e-05,              5.703e-05
                      3,                 6.2902,                 8.0824,                 4.4927,                      0,                      0,                      0,                      0,                 6.3963,                 8.0696,                 4.1577,               9.01e-05,               9.01e-05,               9.01e-05
                      4,                 6.0844,                 7.2439,                 4.3226,                      0,                      0,                      0,                      0,                 6.3974,                 8.0724,                 4.1573,             0.00011921,             0.00011921,             0.00011921
                      5,                 5.9095,                 7.6988,                 4.3555,                      0,                      0,                      0,                      0,                 6.3976,                 8.0742,                 4.1579,             0.00014436,             0.00014436,             0.00014436
                      6,                 6.1433,                 7.4795,                 4.3178,                      0,                      0,                      0,                      0,                 6.3976,                 8.0767,                  4.159,             0.00016555,             0.00016555,             0.00016555
                      7,                 6.0309,                 6.6792,                 4.2835,                      0,                      0,                      0,                      0,                 6.3994,                 8.0886,                 4.1582,             0.00018278,             0.00018278,             0.00018278
                      8,                 5.6486,                  6.654,                 4.5322,                      0,                      0,                      0,                      0,                 6.3999,                 8.0886,                 4.1596,             0.00019605,             0.00019605,             0.00019605
                      9,                 5.7576,                 6.5011,                 4.2411,                      0,                      0,                      0,                      0,                 6.3982,                 8.0837,                 4.1613,             0.00020536,             0.00020536,             0.00020536
                     10,                 5.8285,                 6.8762,                 4.1838,                      0,                      0,                      0,                      0,                 6.3988,                 8.0868,                 4.1633,             0.00021071,             0.00021071,             0.00021071
                     11,                 5.6293,                 8.8006,                 4.3195,                      0,                      0,                      0,                      0,                 6.4017,                 8.1015,                 4.1656,              0.0002121,              0.0002121,              0.0002121
                     12,                 5.1203,                 8.4919,                 4.1352,                      0,                      0,                      0,                      0,                 6.4036,                 8.1108,                 4.1683,             0.00020953,             0.00020953,             0.00020953
                     13,                 5.4262,                 8.2619,                 4.2036,                      0,                      0,                      0,                      0,                 6.4054,                   8.12,                 4.1725,               0.000203,               0.000203,               0.000203
                     14,                 5.3945,                 7.8141,                 4.1138,                      0,                      0,                      0,                      0,                 6.4066,                  8.125,                 4.1769,             0.00019251,             0.00019251,             0.00019251
                     15,                 5.2005,                 7.9325,                 3.9886,                      0,                      0,                      0,                      0,                  6.409,                 8.1438,                 4.1807,             0.00017806,             0.00017806,             0.00017806
                     16,                 5.2152,                  7.639,                 3.9132,                      0,                      0,                      0,                      0,                 6.4115,                 8.1585,                 4.1864,             0.00015965,             0.00015965,             0.00015965
                     17,                 5.2331,                  7.255,                 4.1189,                      0,                      0,                      0,                      0,                  6.412,                 8.1637,                 4.1912,             0.00013728,             0.00013728,             0.00013728
                     18,                 5.2938,                 8.3577,                 3.9266,                      0,                      0,                      0,                      0,                 6.4138,                 8.1185,                 4.1963,             0.00011095,             0.00011095,             0.00011095
                     19,                 5.2837,                 7.2838,                 3.9257,                      0,                      0,                      0,                      0,                 6.4163,                 8.1176,                 4.2026,              8.066e-05,              8.066e-05,              8.066e-05
                     20,                 4.8406,                 7.5815,                 3.7078,                      0,                      0,                      0,                      0,                 6.4191,                 8.1363,                 4.2083,              4.641e-05,              4.641e-05,              4.641e-05
